Year;Country;Genre;ISCED11;Percentage;Employment Rate
2005;AT;F;ED0-2;28.2;64
2005;AT;M;ED0-2;20.7;76.9
2005;BE;F;ED0-2;35.9;58.6
2005;BE;M;ED0-2;36.7;74.3
2005;BG;F;ED0-2;32.7;57.1
2005;BG;M;ED0-2;34.1;66.8
2005;CY;F;ED0-2;36.6;63.8
2005;CY;M;ED0-2;35.8;85.5
2005;CZ;F;ED0-2;19.7;61.3
2005;CZ;M;ED0-2;14;80.1
2005;DE;F;ED0-2;27.3;63.1
2005;DE;M;ED0-2;22.3;75.6
2005;DK;F;ED0-2;26.3;73.7
2005;DK;M;ED0-2;25.1;82.3
2005;EE;F;ED0-2;17.2;69.7
2005;EE;M;ED0-2;22.9;74.6
2005;EL;F;ED0-2;40.1;49.7
2005;EL;M;ED0-2;40;79.3
2005;ES;F;ED0-2;50.6;55.1
2005;ES;M;ED0-2;52.8;79.8
2005;FI;F;ED0-2;24.7;70.8
2005;FI;M;ED0-2;29.2;75.1
2005;FR;F;ED0-2;36.6;63.2
2005;FR;M;ED0-2;34.5;75
2005;HR;F;ED0-2;34.5;52.8
2005;HR;M;ED0-2;23.9;67.3
2005;HU;F;ED0-2;31.1;55.6
2005;HU;M;ED0-2;25.9;69.2
2005;IE;F;ED0-2;34.1;63.7
2005;IE;M;ED0-2;39.9;84.2
2005;IT;F;ED0-2;49.9;48.5
2005;IT;M;ED0-2;51.3;74.8
2005;LT;F;ED0-2;18.9;66.6
2005;LT;M;ED0-2;22.8;75
2005;LU;F;ED0-2;41.7;58.4
2005;LU;M;ED0-2;35.7;79.4
2005;LV;F;ED0-2;21;64.5
2005;LV;M;ED0-2;28.5;74.3
2005;MT;F;ED0-2;72.5;34.8
2005;MT;M;ED0-2;65.3;79.7
2005;NL;F;ED0-2;36.8;64.4
2005;NL;M;ED0-2;32.3;80.9
2005;PL;F;ED0-2;22;51.7
2005;PL;M;ED0-2;21.7;65.1
2005;PT;F;ED0-2;69.8;66
2005;PT;M;ED0-2;75.6;78.7
2005;RO;F;ED0-2;37.2;56.9
2005;RO;M;ED0-2;29.4;70.4
2005;SE;F;ED0-2;19.4;75.2
2005;SE;M;ED0-2;23.2;80.5
2005;SI;F;ED0-2;25.9;66.2
2005;SI;M;ED0-2;22.1;75.8
2005;SK;F;ED0-2;22.1;56.7
2005;SK;M;ED0-2;17.8;72.5
2006;AT;F;ED0-2;29.6;65.2
2006;AT;M;ED0-2;20.3;78.1
2006;BE;F;ED0-2;35;58.8
2006;BE;M;ED0-2;36.4;74
2006;BG;F;ED0-2;30.2;60.4
2006;BG;M;ED0-2;31;69.9
2006;CY;F;ED0-2;33.5;65.9
2006;CY;M;ED0-2;33.6;86.2
2006;CZ;F;ED0-2;19.1;61.8
2006;CZ;M;ED0-2;13.7;80.4
2006;DE;F;ED0-2;26.9;65
2006;DE;M;ED0-2;22.3;77.2
2006;DK;F;ED0-2;26.4;74.8
2006;DK;M;ED0-2;24.4;83.8
2006;EE;F;ED0-2;17.1;72.5
2006;EE;M;ED0-2;24.3;79.5
2006;EL;F;ED0-2;40.1;51.3
2006;EL;M;ED0-2;42.7;79.9
2006;ES;F;ED0-2;49.5;57.1
2006;ES;M;ED0-2;52.2;80.7
2006;FI;F;ED0-2;23.9;71.5
2006;FI;M;ED0-2;28.5;76.3
2006;FR;F;ED0-2;35.8;63.4
2006;FR;M;ED0-2;34.1;74.6
2006;HR;F;ED0-2;32.5;53.6
2006;HR;M;ED0-2;23.9;67.7
2006;HU;F;ED0-2;29.7;55.6
2006;HU;M;ED0-2;24.7;70.1
2006;IE;F;ED0-2;32.4;64.6
2006;IE;M;ED0-2;38.6;84.5
2006;IT;F;ED0-2;48.7;49.6
2006;IT;M;ED0-2;50.4;75.4
2006;LT;F;ED0-2;18.6;68
2006;LT;M;ED0-2;22.8;74.9
2006;LU;F;ED0-2;41.4;59.4
2006;LU;M;ED0-2;37.1;78.9
2006;LV;F;ED0-2;20.5;68.4
2006;LV;M;ED0-2;29.1;78.4
2006;MT;F;ED0-2;70.9;35.7
2006;MT;M;ED0-2;64.1;79.6
2006;NL;F;ED0-2;35;65.7
2006;NL;M;ED0-2;32.3;81.6
2006;PL;F;ED0-2;20.9;53.1
2006;PL;M;ED0-2;21;67.3
2006;PT;F;ED0-2;68.8;66.3
2006;PT;M;ED0-2;74.7;79.2
2006;RO;F;ED0-2;35.9;58.5
2006;RO;M;ED0-2;28.2;71.2
2006;SE;F;ED0-2;26.6;75.8
2006;SE;M;ED0-2;27.1;81.7
2006;SI;F;ED0-2;24.6;66.5
2006;SI;M;ED0-2;21.2;76.3
2006;SK;F;ED0-2;21;57.5
2006;SK;M;ED0-2;16.7;74.6
2007;AT;F;ED0-2;30;66.2
2007;AT;M;ED0-2;20.8;79.5
2007;BE;F;ED0-2;34.4;60.3
2007;BE;M;ED0-2;35.2;75
2007;BG;F;ED0-2;28.2;63.5
2007;BG;M;ED0-2;29.1;73.4
2007;CY;F;ED0-2;31;67.7
2007;CY;M;ED0-2;31.3;86.4
2007;CZ;F;ED0-2;18.8;62.4
2007;CZ;M;ED0-2;13.6;81.5
2007;DE;F;ED0-2;25.5;66.7
2007;DE;M;ED0-2;21.5;79.1
2007;DK;F;ED0-2;32.6;74.7
2007;DK;M;ED0-2;32.1;83.2
2007;EE;F;ED0-2;16.9;72.6
2007;EE;M;ED0-2;23.3;81.4
2007;EL;F;ED0-2;39.4;51.7
2007;EL;M;ED0-2;42.2;80.1
2007;ES;F;ED0-2;49;58.6
2007;ES;M;ED0-2;51.2;80.6
2007;FI;F;ED0-2;23;72.5
2007;FI;M;ED0-2;27.7;77.2
2007;FR;F;ED0-2;34.7;64.3
2007;FR;M;ED0-2;33.2;74.7
2007;HR;F;ED0-2;30.6;55.9
2007;HR;M;ED0-2;22.7;72.1
2007;HU;F;ED0-2;28.7;55.2
2007;HU;M;ED0-2;23.8;69.8
2007;IE;F;ED0-2;30.3;65.8
2007;IE;M;ED0-2;35.9;84.2
2007;IT;F;ED0-2;47.7;49.9
2007;IT;M;ED0-2;49.7;75.7
2007;LT;F;ED0-2;17.8;69.1
2007;LT;M;ED0-2;22.1;76.6
2007;LU;F;ED0-2;40.9;61
2007;LU;M;ED0-2;36.5;78.3
2007;LV;F;ED0-2;20.3;70.3
2007;LV;M;ED0-2;28;80.5
2007;MT;F;ED0-2;70.2;37.7
2007;MT;M;ED0-2;64.4;79
2007;NL;F;ED0-2;34.1;67.7
2007;NL;M;ED0-2;31.6;83.2
2007;PL;F;ED0-2;20.2;55.5
2007;PL;M;ED0-2;20.6;70.2
2007;PT;F;ED0-2;68.5;66.3
2007;PT;M;ED0-2;74.5;79.1
2007;RO;F;ED0-2;34.8;57.9
2007;RO;M;ED0-2;27;71
2007;SE;F;ED0-2;26.4;77.1
2007;SE;M;ED0-2;26.7;83.1
2007;SI;F;ED0-2;24;67.1
2007;SI;M;ED0-2;20.5;77.5
2007;SK;F;ED0-2;20.1;58.7
2007;SK;M;ED0-2;16.7;76
2008;AT;F;ED0-2;28.8;67.6
2008;AT;M;ED0-2;20.3;80.1
2008;BE;F;ED0-2;33;61.3
2008;BE;M;ED0-2;34.1;74.7
2008;BG;F;ED0-2;28;65.4
2008;BG;M;ED0-2;28.7;76.1
2008;CY;F;ED0-2;30.7;68.2
2008;CY;M;ED0-2;30.1;85.2
2008;CZ;F;ED0-2;18.4;62.5
2008;CZ;M;ED0-2;13.4;82
2008;DE;F;ED0-2;24.1;67.8
2008;DE;M;ED0-2;20.5;80.1
2008;DK;F;ED0-2;33.7;74.3
2008;DK;M;ED0-2;32.8;83
2008;EE;F;ED0-2;17.8;72.9
2008;EE;M;ED0-2;23.1;81.5
2008;EL;F;ED0-2;38.3;52.6
2008;EL;M;ED0-2;41.2;80.1
2008;ES;F;ED0-2;48.4;58.9
2008;ES;M;ED0-2;51.3;77.9
2008;FI;F;ED0-2;22.8;73.1
2008;FI;M;ED0-2;27.5;78.4
2008;FR;F;ED0-2;33.4;65
2008;FR;M;ED0-2;32.5;75.1
2008;HR;F;ED0-2;29.2;57
2008;HR;M;ED0-2;22.6;72.9
2008;HU;F;ED0-2;28;54.8
2008;HU;M;ED0-2;23.4;68.7
2008;IE;F;ED0-2;28.6;65.4
2008;IE;M;ED0-2;35;81.4
2008;IT;F;ED0-2;46.7;50.6
2008;IT;M;ED0-2;49.1;75.3
2008;LT;F;ED0-2;16.6;68.7
2008;LT;M;ED0-2;20.6;75.6
2008;LU;F;ED0-2;39.2;60.1
2008;LU;M;ED0-2;34.4;77.2
2008;LV;F;ED0-2;19.1;71.9
2008;LV;M;ED0-2;26.8;79.3
2008;MT;F;ED0-2;67.4;39.4
2008;MT;M;ED0-2;62.9;78.5
2008;NL;F;ED0-2;33.8;69.4
2008;NL;M;ED0-2;31.8;84.4
2008;PL;F;ED0-2;19.4;57.3
2008;PL;M;ED0-2;19.9;73
2008;PT;F;ED0-2;67.8;67.1
2008;PT;M;ED0-2;73.8;79.4
2008;RO;F;ED0-2;33.7;57.3
2008;RO;M;ED0-2;26.6;71.6
2008;SE;F;ED0-2;26;77.2
2008;SE;M;ED0-2;26.3;83.5
2008;SI;F;ED0-2;23.2;68.5
2008;SI;M;ED0-2;20.6;77.4
2008;SK;F;ED0-2;19.4;60.3
2008;SK;M;ED0-2;15.8;77.4
2009;AT;F;ED0-2;28;68.2
2009;AT;M;ED0-2;19.6;78.7
2009;BE;F;ED0-2;31.7;61
2009;BE;M;ED0-2;33.1;73.2
2009;BG;F;ED0-2;27.5;64
2009;BG;M;ED0-2;27.6;73.8
2009;CY;F;ED0-2;31.4;68.3
2009;CY;M;ED0-2;31;82.8
2009;CZ;F;ED0-2;17.4;61.4
2009;CZ;M;ED0-2;13;80.2
2009;DE;F;ED0-2;23.7;68.7
2009;DE;M;ED0-2;20.3;79.6
2009;DK;F;ED0-2;32.6;73.1
2009;DK;M;ED0-2;32.2;79.1
2009;EE;F;ED0-2;16.2;69
2009;EE;M;ED0-2;22.4;71
2009;EL;F;ED0-2;37.8;52.9
2009;EL;M;ED0-2;41.4;78.5
2009;ES;F;ED0-2;47.7;56.8
2009;ES;M;ED0-2;51.2;71
2009;FI;F;ED0-2;22.2;72.4
2009;FI;M;ED0-2;26.5;74.7
2009;FR;F;ED0-2;32.8;64.4
2009;FR;M;ED0-2;31.9;73.8
2009;HR;F;ED0-2;28.5;58
2009;HR;M;ED0-2;22.2;70.5
2009;HU;F;ED0-2;27;54
2009;HU;M;ED0-2;22.9;66.5
2009;IE;F;ED0-2;27.5;62.9
2009;IE;M;ED0-2;33.8;73.1
2009;IT;F;ED0-2;46.1;49.7
2009;IT;M;ED0-2;48.2;73.7
2009;LT;F;ED0-2;16;67.2
2009;LT;M;ED0-2;20.2;66.8
2009;LU;F;ED0-2;31;61.5
2009;LU;M;ED0-2;26.2;79
2009;LV;F;ED0-2;18;66.5
2009;LV;M;ED0-2;25.4;66.8
2009;MT;F;ED0-2;63.7;40
2009;MT;M;ED0-2;60.3;77.5
2009;NL;F;ED0-2;33.2;69.9
2009;NL;M;ED0-2;32;83.6
2009;PL;F;ED0-2;18.4;57.6
2009;PL;M;ED0-2;19;72.6
2009;PT;F;ED0-2;66.5;66.1
2009;PT;M;ED0-2;72.1;76.4
2009;RO;F;ED0-2;33.5;56.3
2009;RO;M;ED0-2;26.9;70.7
2009;SE;F;ED0-2;25.2;75.7
2009;SE;M;ED0-2;25.6;80.9
2009;SI;F;ED0-2;22.1;67.9
2009;SI;M;ED0-2;19.6;75.6
2009;SK;F;ED0-2;18;58.2
2009;SK;M;ED0-2;15;74.6
2010;AT;F;ED0-2;27;68.8
2010;AT;M;ED0-2;19.4;79
2010;BE;F;ED0-2;31.7;61.6
2010;BE;M;ED0-2;33.4;73.5
2010;BG;F;ED0-2;25;60.8
2010;BG;M;ED0-2;25.3;68.6
2010;CY;F;ED0-2;29.5;68.8
2010;CY;M;ED0-2;29.7;81.7
2010;CZ;F;ED0-2;16.7;60.9
2010;CZ;M;ED0-2;12.2;79.6
2010;DE;F;ED0-2;22.6;69.7
2010;DE;M;ED0-2;19.4;80.4
2010;DK;F;ED0-2;32;72
2010;DK;M;ED0-2;32.3;77.7
2010;EE;F;ED0-2;15;65.9
2010;EE;M;ED0-2;21.5;67.8
2010;EL;F;ED0-2;36.6;51.8
2010;EL;M;ED0-2;40.5;76
2010;ES;F;ED0-2;46.2;56.3
2010;ES;M;ED0-2;50;69.2
2010;FI;F;ED0-2;21.6;71.5
2010;FI;M;ED0-2;25.7;74.5
2010;FR;F;ED0-2;32.4;64.3
2010;FR;M;ED0-2;31.4;73.6
2010;HR;F;ED0-2;28.7;56.4
2010;HR;M;ED0-2;22.1;67.9
2010;HU;F;ED0-2;26.3;54.6
2010;HU;M;ED0-2;22.5;65.5
2010;IE;F;ED0-2;27;61.1
2010;IE;M;ED0-2;32.8;69.9
2010;IT;F;ED0-2;45.1;49.5
2010;IT;M;ED0-2;47.4;72.7
2010;LT;F;ED0-2;15.5;65
2010;LT;M;ED0-2;18.9;63.5
2010;LU;F;ED0-2;31;62
2010;LU;M;ED0-2;26.8;79.2
2010;LV;F;ED0-2;15.9;64.5
2010;LV;M;ED0-2;23.5;64
2010;MT;F;ED0-2;61.5;41.6
2010;MT;M;ED0-2;59.1;78.2
2010;NL;F;ED0-2;32.5;69.8
2010;NL;M;ED0-2;31.1;82.5
2010;PL;F;ED0-2;17.6;57.3
2010;PL;M;ED0-2;18.4;71.3
2010;PT;F;ED0-2;64.1;65.6
2010;PT;M;ED0-2;70.7;75.4
2010;RO;F;ED0-2;34.1;56.5
2010;RO;M;ED0-2;27.1;73.1
2010;SE;F;ED0-2;24.8;75
2010;SE;M;ED0-2;25.2;81.1
2010;SI;F;ED0-2;22.2;66.5
2010;SI;M;ED0-2;19.7;74
2010;SK;F;ED0-2;17.5;57.4
2010;SK;M;ED0-2;15;71.9
2011;AT;F;ED0-2;26.6;69.2
2011;AT;M;ED0-2;19.5;79.2
2011;BE;F;ED0-2;30.7;61.5
2011;BE;M;ED0-2;33;73
2011;BG;F;ED0-2;23.9;59.8
2011;BG;M;ED0-2;24.1;66
2011;CY;F;ED0-2;27.5;67.7
2011;CY;M;ED0-2;29.2;79.6
2011;CZ;F;ED0-2;16;61.7
2011;CZ;M;ED0-2;11.8;79.9
2011;DE;F;ED0-2;19.7;71.3
2011;DE;M;ED0-2;16.4;81.7
2011;DK;F;ED0-2;30.4;71.4
2011;DK;M;ED0-2;31.3;78.3
2011;EE;F;ED0-2;14.9;67.8
2011;EE;M;ED0-2;20.6;73.5
2011;EL;F;ED0-2;35.1;48.7
2011;EL;M;ED0-2;39.1;70.8
2011;ES;F;ED0-2;44.9;56.1
2011;ES;M;ED0-2;49;67.7
2011;FI;F;ED0-2;20.6;71.9
2011;FI;M;ED0-2;25.2;75.6
2011;FR;F;ED0-2;31.7;64.1
2011;FR;M;ED0-2;30.8;73.6
2011;HR;F;ED0-2;28;53.6
2011;HR;M;ED0-2;21.3;66.1
2011;HU;F;ED0-2;26.1;54.7
2011;HU;M;ED0-2;22.4;66.4
2011;IE;F;ED0-2;26.2;60.2
2011;IE;M;ED0-2;32;68.9
2011;IT;F;ED0-2;44;49.9
2011;IT;M;ED0-2;47;72.5
2011;LT;F;ED0-2;14.3;66.6
2011;LT;M;ED0-2;17.5;67.2
2011;LU;F;ED0-2;30.4;61.9
2011;LU;M;ED0-2;27.7;78.1
2011;LV;F;ED0-2;15.7;65.3
2011;LV;M;ED0-2;23.7;67.5
2011;MT;F;ED0-2;59.1;43.8
2011;MT;M;ED0-2;58.7;79
2011;NL;F;ED0-2;32.3;70.4
2011;NL;M;ED0-2;31;82.4
2011;PL;F;ED0-2;17.1;57.2
2011;PL;M;ED0-2;18;71.9
2011;PT;F;ED0-2;60.9;64.6
2011;PT;M;ED0-2;67.6;73.2
2011;RO;F;ED0-2;33.1;56.2
2011;RO;M;ED0-2;26.8;71.5
2011;SE;F;ED0-2;24;76.5
2011;SE;M;ED0-2;24.8;82.1
2011;SI;F;ED0-2;20.9;64.8
2011;SI;M;ED0-2;18.6;71.8
2011;SK;F;ED0-2;17.1;57.4
2011;SK;M;ED0-2;14.2;72.5
2012;AT;F;ED0-2;25.9;69.6
2012;AT;M;ED0-2;18.8;79.3
2012;BE;F;ED0-2;30.1;61.7
2012;BE;M;ED0-2;32.7;72.7
2012;BG;F;ED0-2;22.9;60.2
2012;BG;M;ED0-2;23;65.8
2012;CY;F;ED0-2;26.4;64.8
2012;CY;M;ED0-2;26.4;76.1
2012;CZ;F;ED0-2;15.3;62.5
2012;CZ;M;ED0-2;11.6;80.2
2012;DE;F;ED0-2;19.5;71.6
2012;DE;M;ED0-2;16.3;82.1
2012;DK;F;ED0-2;29;71.1
2012;DK;M;ED0-2;31.1;77.5
2012;EE;F;ED0-2;13.8;69.4
2012;EE;M;ED0-2;19.9;75.1
2012;EL;F;ED0-2;34.1;45.2
2012;EL;M;ED0-2;37.7;65
2012;ES;F;ED0-2;44.2;54.6
2012;ES;M;ED0-2;48.6;64.6
2012;FI;F;ED0-2;19.6;72.5
2012;FI;M;ED0-2;24;75.5
2012;FR;F;ED0-2;30.5;64.6
2012;FR;M;ED0-2;30.2;73.5
2012;HR;F;ED0-2;26;52.6
2012;HR;M;ED0-2;20.3;63.7
2012;HU;F;ED0-2;25;56.2
2012;HU;M;ED0-2;21.9;67.3
2012;IE;F;ED0-2;25.6;60.2
2012;IE;M;ED0-2;30.9;68.8
2012;IT;F;ED0-2;42.5;50.5
2012;IT;M;ED0-2;46;71.5
2012;LT;F;ED0-2;13.3;67.9
2012;LT;M;ED0-2;16.8;69.1
2012;LU;F;ED0-2;29.5;64.1
2012;LU;M;ED0-2;27.3;78.5
2012;LV;F;ED0-2;13.7;66.4
2012;LV;M;ED0-2;21.5;70
2012;MT;F;ED0-2;57.4;48
2012;MT;M;ED0-2;56.4;79.4
2012;NL;F;ED0-2;31.2;71
2012;NL;M;ED0-2;30.3;82.3
2012;PL;F;ED0-2;16.1;57.5
2012;PL;M;ED0-2;17.3;72
2012;PT;F;ED0-2;57.8;63
2012;PT;M;ED0-2;65.6;69.8
2012;RO;F;ED0-2;32.2;56.7
2012;RO;M;ED0-2;26.3;72.8
2012;SE;F;ED0-2;23.1;76.8
2012;SE;M;ED0-2;24.5;81.9
2012;SI;F;ED0-2;19.8;64.6
2012;SI;M;ED0-2;18.4;71.8
2012;SK;F;ED0-2;16.2;57.3
2012;SK;M;ED0-2;13.8;72.8
2013;AT;F;ED0-2;25.4;70
2013;AT;M;ED0-2;18.9;79.1
2013;BE;F;ED0-2;29;62.1
2013;BE;M;ED0-2;31.8;72.3
2013;BG;F;ED0-2;21.9;60.7
2013;BG;M;ED0-2;22.3;66.4
2013;CY;F;ED0-2;25;62.2
2013;CY;M;ED0-2;25.9;72.6
2013;CZ;F;ED0-2;14.4;63.8
2013;CZ;M;ED0-2;11.4;81
2013;DE;F;ED0-2;19.1;72.5
2013;DE;M;ED0-2;16.2;82.1
2013;DK;F;ED0-2;28.6;71.2
2013;DK;M;ED0-2;31.1;77.5
2013;EE;F;ED0-2;12.6;70.1
2013;EE;M;ED0-2;19.2;76.7
2013;EL;F;ED0-2;32.9;43.3
2013;EL;M;ED0-2;36.2;62.7
2013;ES;F;ED0-2;43.2;53.8
2013;ES;M;ED0-2;48;63.4
2013;FI;F;ED0-2;18.6;71.9
2013;FI;M;ED0-2;23;74.7
2013;FR;F;ED0-2;28.4;64.9
2013;FR;M;ED0-2;27.6;73.2
2013;HR;F;ED0-2;24.8;52.8
2013;HR;M;ED0-2;20;61.6
2013;HU;F;ED0-2;24.3;56.9
2013;HU;M;ED0-2;21.2;69.3
2013;IE;F;ED0-2;23.9;61.3
2013;IE;M;ED0-2;29.4;71.8
2013;IT;F;ED0-2;41.6;49.9
2013;IT;M;ED0-2;45.2;69.7
2013;LT;F;ED0-2;12.8;68.6
2013;LT;M;ED0-2;16.1;71.2
2013;LU;F;ED0-2;26.7;63.9
2013;LU;M;ED0-2;25.7;78
2013;LV;F;ED0-2;13;67.7
2013;LV;M;ED0-2;20.5;71.9
2013;MT;F;ED0-2;54.4;51.7
2013;MT;M;ED0-2;54.3;80.3
2013;NL;F;ED0-2;29.5;70.6
2013;NL;M;ED0-2;28.6;81.1
2013;PL;F;ED0-2;15.4;57.6
2013;PL;M;ED0-2;16.8;72.1
2013;PT;F;ED0-2;55.3;62.3
2013;PT;M;ED0-2;63.7;68.7
2013;RO;F;ED0-2;31.7;56.5
2013;RO;M;ED0-2;26.1;72.8
2013;SE;F;ED0-2;22;77.2
2013;SE;M;ED0-2;23.8;82.2
2013;SI;F;ED0-2;19.1;63
2013;SI;M;ED0-2;17.9;71.2
2013;SK;F;ED0-2;16;57.8
2013;SK;M;ED0-2;13.5;72.2
2014;AT;F;ED0-2;23.2;70.1
2014;AT;M;ED0-2;17.3;78.3
2014;BE;F;ED0-2;28.1;62.9
2014;BE;M;ED0-2;30.9;71.6
2014;BG;F;ED0-2;22;62
2014;BG;M;ED0-2;23.2;68.1
2014;CY;F;ED0-2;25.3;63.9
2014;CY;M;ED0-2;26.9;71.6
2014;CZ;F;ED0-2;13.9;64.7
2014;CZ;M;ED0-2;10.9;82.2
2014;DE;F;ED0-2;20.8;73.1
2014;DE;M;ED0-2;18.6;82.2
2014;DK;F;ED0-2;27;71
2014;DK;M;ED0-2;30.4;78.4
2014;EE;F;ED0-2;13.3;70.6
2014;EE;M;ED0-2;22.2;78.3
2014;EL;F;ED0-2;31.6;44.3
2014;EL;M;ED0-2;34.7;62.6
2014;ES;F;ED0-2;42.3;54.8
2014;ES;M;ED0-2;46.6;65
2014;FI;F;ED0-2;17.6;72.1
2014;FI;M;ED0-2;22.6;74
2014;FR;F;ED0-2;27;65.6
2014;FR;M;ED0-2;26;73.1
2014;HR;F;ED0-2;23.4;54.2
2014;HR;M;ED0-2;18.6;64.2
2014;HU;F;ED0-2;23.2;60.2
2014;HU;M;ED0-2;20.8;73.5
2014;IE;F;ED0-2;21.2;62.3
2014;IE;M;ED0-2;26.7;74.1
2014;IT;F;ED0-2;40.5;50.3
2014;IT;M;ED0-2;44.2;69.7
2014;LT;F;ED0-2;12.5;70.6
2014;LT;M;ED0-2;16.1;73.1
2014;LU;F;ED0-2;26.6;65.5
2014;LU;M;ED0-2;23.1;78.4
2014;LV;F;ED0-2;12.6;68.5
2014;LV;M;ED0-2;20;73.1
2014;MT;F;ED0-2;52.1;54.3
2014;MT;M;ED0-2;52.3;81.1
2014;NL;F;ED0-2;29.2;69.7
2014;NL;M;ED0-2;28.5;81.1
2014;PL;F;ED0-2;14.9;59.4
2014;PL;M;ED0-2;16.2;73.6
2014;PT;F;ED0-2;52.2;64.2
2014;PT;M;ED0-2;60.7;71.3
2014;RO;F;ED0-2;33.3;57.3
2014;RO;M;ED0-2;29.1;74
2014;SE;F;ED0-2;21.1;77.6
2014;SE;M;ED0-2;23.2;82.2
2014;SI;F;ED0-2;19.5;63.6
2014;SI;M;ED0-2;17.4;71.6
2014;SK;F;ED0-2;16.3;58.6
