ISCED11;Country;Year;MoneyF;MoneyM;IncomeDifferences;GenderWageGap
ED5-8;AT; 2006;25654;25632;-22,0;-0,042896697
ED5-8;AT; 2007;25545;26879;1334,0;2,5446360446
ED5-8;AT; 2008;28508;27791;-717,0;-1,2735572568
ED5-8;AT; 2009;29637;30834;1197,0;1,9794612293
ED5-8;AT; 2010;30460;30827;367,0;0,5988219361
ED5-8;AT; 2011;31210;30997;-213,0;-0,3424051956
ED5-8;AT; 2012;30443;33422;2979,0;4,6645267361
ED5-8;AT; 2013;30986;31541;555,0;0,8876165497
ED5-8;AT; 2014;31870;33529;1659,0;2,5367360357
ED5-8;AT; 2015;31837;32547;710,0;1,1027584493
ED5-8;AT; 2016;31712;32324;612,0;0,9557124118
ED5-8;AT; 2017;34164;34738;574,0;0,8330672549
ED5-8;AT; 2018;33493;34572;1079,0;1,585249394
ED5-8;AT; 2019;33373;35193;1820,0;2,6543768048
ED5-8;BE; 2005;22899;24578;1679,0;3,536449228
ED5-8;BE; 2006;23825;28015;4190,0;8,0825617284
ED5-8;BE; 2007;24708;25856;1148,0;2,2703900008
ED5-8;BE; 2008;25470;28324;2854,0;5,3054243968
ED5-8;BE; 2009;26830;28697;1867,0;3,3623282367
ED5-8;BE; 2010;27749;28204;455,0;0,8131824924
ED5-8;BE; 2011;28202;28641;439,0;0,7723026582
ED5-8;BE; 2012;28299;28800;501,0;0,8774234225
ED5-8;BE; 2013;29279;29963;684,0;1,1545862733
ED5-8;BE; 2014;29768;31439;1671,0;2,7300798928
ED5-8;BE; 2015;29635;31181;1546,0;2,5420941857
ED5-8;BE; 2016;30309;32279;1970,0;3,1475682239
ED5-8;BE; 2017;30823;32986;2163,0;3,3898039462
ED5-8;BE; 2018;31677;33357;1680,0;2,5832641388
ED5-8;BE; 2019;-1;-1;0,0;-0,0
ED5-8;BG; 2005;-1;-1;0,0;-0,0
ED5-8;BG; 2006;2285;2484;199,0;4,172782554
ED5-8;BG; 2007;2474;2710;236,0;4,5524691358
ED5-8;BG; 2008;3963;4269;306,0;3,7172011662
ED5-8;BG; 2009;4958;5394;436,0;4,2117465224
ED5-8;BG; 2010;5392;5586;194,0;1,767170705
ED5-8;BG; 2011;5421;6032;611,0;5,334846765
ED5-8;BG; 2012;4919;5384;465,0;4,5132485684
ED5-8;BG; 2013;5531;6104;573,0;4,9247958745
ED5-8;BG; 2014;5921;7030;1109,0;8,5630453247
ED5-8;BG; 2015;6455;7546;1091,0;7,79230055
ED5-8;BG; 2016;5957;6437;480,0;3,8728416976
ED5-8;BG; 2017;7630;8796;1166,0;7,0985023743
ED5-8;BG; 2018;7567;9239;1672,0;9,9488277996
ED5-8;BG; 2019;9054;11473;2419,0;11,7844789789
ED5-8;CY; 2005;20946;22059;1113,0;2,5880711545
ED5-8;CY; 2006;22211;24166;1955,0;4,2154516247
ED5-8;CY; 2007;24621;26773;2152,0;4,1872592131
ED5-8;CY; 2008;24654;27331;2677,0;5,1495623738
ED5-8;CY; 2009;24925;28965;4040,0;7,4967526443
ED5-8;CY; 2010;25223;28699;3476,0;6,4463484292
ED5-8;CY; 2011;25209;28178;2969,0;5,561278963
ED5-8;CY; 2012;25396;29269;3873,0;7,0849721028
ED5-8;CY; 2013;24400;27449;3049,0;5,8805377153
ED5-8;CY; 2014;24093;26043;1950,0;3,8894207755
ED5-8;CY; 2015;21845;24382;2537,0;5,4881346399
ED5-8;CY; 2016;22163;23772;1609,0;3,5027756613
ED5-8;CY; 2017;22278;23895;1617,0;3,5020466506
ED5-8;CY; 2018;22097;23900;1803,0;3,9198208579
ED5-8;CY; 2019;24991;26836;1845,0;3,5599205048
ED5-8;CZ; 2005;6754;7382;628,0;4,4425580079
ED5-8;CZ; 2006;7828;8040;212,0;1,336022183
ED5-8;CZ; 2007;8657;8880;223,0;1,2715971945
ED5-8;CZ; 2008;9538;9727;189,0;0,9810537244
ED5-8;CZ; 2009;11881;12257;376,0;1,5577098351
ED5-8;CZ; 2010;11324;11980;656,0;2,8149673876
ED5-8;CZ; 2011;11928;12513;585,0;2,3935190868
ED5-8;CZ; 2012;12165;13116;951,0;3,7617182865
ED5-8;CZ; 2013;11642;12998;1356,0;5,5032467532
ED5-8;CZ; 2014;11486;12585;1099,0;4,5656599227
ED5-8;CZ; 2015;11235;11785;550,0;2,3892267593
ED5-8;CZ; 2016;11838;12558;720,0;2,9513034924
ED5-8;CZ; 2017;12101;12954;853,0;3,4045100778
ED5-8;CZ; 2018;12896;14079;1183,0;4,3855421687
ED5-8;CZ; 2019;14279;15668;1389,0;4,638194143
ED5-8;DE; 2005;22178;25435;3257,0;6,8405687522
ED5-8;DE; 2006;23351;25469;2118,0;4,3383859074
ED5-8;DE; 2007;24689;26744;2055,0;3,9954892773
ED5-8;DE; 2008;25763;28089;2326,0;4,3192453391
ED5-8;DE; 2009;27507;28646;1139,0;2,0283867291
ED5-8;DE; 2010;27158;29404;2246,0;3,9708638308
ED5-8;DE; 2011;26575;28796;2221,0;4,0111249571
ED5-8;DE; 2012;26790;29331;2541,0;4,5277168974
ED5-8;DE; 2013;27218;29698;2480,0;4,3572984749
ED5-8;DE; 2014;27469;29676;2207,0;3,8621051711
ED5-8;DE; 2015;28963;31577;2614,0;4,317806409
ED5-8;DE; 2016;29325;31672;2347,0;3,8477302162
ED5-8;DE; 2017;29281;32374;3093,0;5,0166247668
ED5-8;DE; 2018;30914;33796;2882,0;4,4537165817
ED5-8;DE; 2019;31547;34102;2555,0;3,8919100062
ED5-8;DK; 2005;28486;29773;1287,0;2,2091007398
ED5-8;DK; 2006;29033;30575;1542,0;2,5869010871
ED5-8;DK; 2007;31501;32285;784,0;1,229109836
ED5-8;DK; 2008;32196;31062;-1134,0;-1,7926586361
ED5-8;DK; 2009;32371;30383;-1988,0;-3,1679255506
ED5-8;DK; 2010;32316;34707;2391,0;3,5674320756
ED5-8;DK; 2011;36260;38079;1819,0;2,4468986669
ED5-8;DK; 2012;36216;37495;1279,0;1,7351548616
ED5-8;DK; 2013;35682;37196;1514,0;2,0774444963
ED5-8;DK; 2014;37257;38224;967,0;1,2811171023
ED5-8;DK; 2015;36940;39073;2133,0;2,8060989568
ED5-8;DK; 2016;36847;39292;2445,0;3,2112320887
ED5-8;DK; 2017;38179;39790;1611,0;2,0662057997
ED5-8;DK; 2018;38686;41387;2701,0;3,3731719806
ED5-8;DK; 2019;39211;40793;1582,0;1,9774011299
ED5-8;EE; 2005;4699;5833;1134,0;10,7671857197
ED5-8;EE; 2006;5674;6786;1112,0;8,9245585875
ED5-8;EE; 2007;7239;8217;978,0;6,3276397516
ED5-8;EE; 2008;8419;9413;994,0;5,5742485419
ED5-8;EE; 2009;9741;10477;736,0;3,6403205065
ED5-8;EE; 2010;9148;9884;736,0;3,8671710803
ED5-8;EE; 2011;8621;9450;829,0;4,5874605722
ED5-8;EE; 2012;9237;9976;739,0;3,8463540311
ED5-8;EE; 2013;10108;11142;1034,0;4,8658823529
ED5-8;EE; 2014;11642;12988;1346,0;5,4648802274
ED5-8;EE; 2015;12520;14195;1675,0;6,2698858319
ED5-8;EE; 2016;12967;14541;1574,0;5,72197179
ED5-8;EE; 2017;13776;14758;982,0;3,441508376
ED5-8;EE; 2018;15188;16062;874,0;2,7968
ED5-8;EE; 2019;16250;17754;1504,0;4,4230090578
ED5-8;EL; 2005;16640;16964;324,0;0,964170932
ED5-8;EL; 2006;17709;18059;350,0;0,9785282934
ED5-8;EL; 2007;17972;18967;995,0;2,6936300387
ED5-8;EL; 2008;18353;20241;1888,0;4,8919521169
ED5-8;EL; 2009;20003;20936;933,0;2,2790004641
ED5-8;EL; 2010;20641;20868;227,0;0,5468693536
ED5-8;EL; 2011;18021;18992;971,0;2,6234025883
ED5-8;EL; 2012;14233;15575;1342,0;4,5021470746
ED5-8;EL; 2013;13157;14250;1093,0;3,9880322545
ED5-8;EL; 2014;12487;13195;708,0;2,7567946422
ED5-8;EL; 2015;11569;12557;988,0;4,0951670397
ED5-8;EL; 2016;11501;12624;1123,0;4,6549222798
ED5-8;EL; 2017;11551;12346;795,0;3,3267774198
ED5-8;EL; 2018;11931;12777;846,0;3,4239922292
ED5-8;EL; 2019;12280;13028;748,0;2,9555871661
ED5-8;ES; 2005;17046;17461;415,0;1,2026545339
ED5-8;ES; 2006;18183;18592;409,0;1,1121685928
ED5-8;ES; 2007;18633;18917;284,0;0,7563249001
ED5-8;ES; 2008;22359;22948;589,0;1,3000198645
ED5-8;ES; 2009;23923;24656;733,0;1,5088824389
ED5-8;ES; 2010;23757;24362;605,0;1,2572996114
ED5-8;ES; 2011;22693;23388;695,0;1,5082137974
ED5-8;ES; 2012;22232;22954;722,0;1,597840039
ED5-8;ES; 2013;21086;22069;983,0;2,2778357085
ED5-8;ES; 2014;20441;21477;1036,0;2,4714919605
ED5-8;ES; 2015;20749;21415;666,0;1,5795465326
ED5-8;ES; 2016;21252;21955;703,0;1,6270511723
ED5-8;ES; 2017;21988;22727;739,0;1,6526892542
ED5-8;ES; 2018;22260;23606;1346,0;2,9346356778
ED5-8;ES; 2019;22361;23873;1512,0;3,2703205433
ED5-8;FI; 2005;25062;27222;2160,0;4,1312829929
ED5-8;FI; 2006;25815;28295;2480,0;4,5832563297
ED5-8;FI; 2007;26912;29179;2267,0;4,04164661
ED5-8;FI; 2008;28619;30609;1990,0;3,3598973458
ED5-8;FI; 2009;29255;31497;2242,0;3,6904134843
ED5-8;FI; 2010;29681;32213;2532,0;4,0908650273
ED5-8;FI; 2011;30207;32775;2568,0;4,0773554349
ED5-8;FI; 2012;31045;33653;2608,0;4,0310365081
ED5-8;FI; 2013;31881;34448;2567,0;3,870102067
ED5-8;FI; 2014;32296;34293;1997,0;2,9989938278
ED5-8;FI; 2015;32603;34510;1907,0;2,8414763161
ED5-8;FI; 2016;32804;34252;1448,0;2,1593891673
ED5-8;FI; 2017;33266;34951;1685,0;2,470058783
ED5-8;FI; 2018;34409;36259;1850,0;2,6178751344
ED5-8;FI; 2019;34956;36741;1785,0;2,4896439182
ED5-8;FR; 2005;23358;25171;1813,0;3,7359104865
ED5-8;FR; 2006;23370;24377;1007,0;2,1090330283
ED5-8;FR; 2007;23133;24449;1316,0;2,7657517549
ED5-8;FR; 2008;28099;29202;1103,0;1,9249227762
ED5-8;FR; 2009;29323;30889;1566,0;2,6008104697
ED5-8;FR; 2010;29036;30244;1208,0;2,0377867746
ED5-8;FR; 2011;29890;31403;1513,0;2,4684711142
ED5-8;FR; 2012;30380;31818;1438,0;2,311971446
ED5-8;FR; 2013;30634;32247;1613,0;2,5651627678
ED5-8;FR; 2014;29088;31874;2786,0;4,5700600374
ED5-8;FR; 2015;29534;31998;2464,0;4,0044204641
ED5-8;FR; 2016;30172;32403;2231,0;3,5653216141
ED5-8;FR; 2017;29876;32222;2346,0;3,7778994493
ED5-8;FR; 2018;30583;31820;1237,0;1,9822764931
ED5-8;FR; 2019;-1;-1;0,0;-0,0
ED5-8;HR; 2005;-1;-1;0,0;-0,0
ED5-8;HR; 2006;-1;-1;0,0;-0,0
ED5-8;HR; 2007;-1;-1;0,0;-0,0
ED5-8;HR; 2008;-1;-1;0,0;-0,0
ED5-8;HR; 2009;-1;-1;0,0;-0,0
ED5-8;HR; 2010;9997;10169;172,0;0,8529207577
ED5-8;HR; 2011;9279;9597;318,0;1,6846789574
ED5-8;HR; 2012;9267;9626;359,0;1,9001746679
ED5-8;HR; 2013;8715;9179;464,0;2,593047949
ED5-8;HR; 2014;8597;9150;553,0;3,1160196089
ED5-8;HR; 2015;9197;9614;417,0;2,2167880495
ED5-8;HR; 2016;9376;9838;462,0;2,4044967211
ED5-8;HR; 2017;10009;10774;765,0;3,6808930376
ED5-8;HR; 2018;10532;11649;1117,0;5,035841486
ED5-8;HR; 2019;11329;12206;877,0;3,7263649883
ED5-8;HU; 2005;5891;6653;762,0;6,0746173469
ED5-8;HU; 2006;7124;7965;841,0;5,5735966598
ED5-8;HU; 2007;6426;7089;663,0;4,9056603774
ED5-8;HU; 2008;6743;7566;823,0;5,7516248515
ED5-8;HU; 2009;7380;8031;651,0;4,224255402
ED5-8;HU; 2010;6439;7021;582,0;4,323922734
ED5-8;HU; 2011;7390;8206;816,0;5,2321107976
ED5-8;HU; 2012;7380;8244;864,0;5,5299539171
ED5-8;HU; 2013;7148;7954;806,0;5,3370414515
ED5-8;HU; 2014;7330;7886;556,0;3,6540483701
ED5-8;HU; 2015;7146;7848;702,0;4,6818727491
ED5-8;HU; 2016;7418;7940;522,0;3,3988800625
ED5-8;HU; 2017;7627;8119;492,0;3,1246030738
ED5-8;HU; 2018;8107;8705;598,0;3,5569831073
ED5-8;HU; 2019;8744;9532;788,0;4,3116655723
ED5-8;IE; 2005;31771;34046;2275,0;3,4565537779
ED5-8;IE; 2006;32985;34592;1607,0;2,3780280273
ED5-8;IE; 2007;35703;38838;3135,0;4,2057391234
ED5-8;IE; 2008;37074;38647;1573,0;2,0773629508
ED5-8;IE; 2009;34076;35652;1576,0;2,260211106
ED5-8;IE; 2010;31841;32159;318,0;0,496875
ED5-8;IE; 2011;30443;30547;104,0;0,1705197573
ED5-8;IE; 2012;29574;30171;597,0;0,9992467989
ED5-8;IE; 2013;30084;31156;1072,0;1,7504898759
ED5-8;IE; 2014;30388;31616;1228,0;1,980517386
ED5-8;IE; 2015;30678;32703;2025,0;3,1949637904
ED5-8;IE; 2016;31856;33051;1195,0;1,8410957216
ED5-8;IE; 2017;33461;35847;2386,0;3,4426040284
ED5-8;IE; 2018;34722;35939;1217,0;1,7223079209
ED5-8;IE; 2019;-1;-1;0,0;-0,0
ED5-8;IT; 2005;25703;27825;2122,0;3,9642803766
ED5-8;IT; 2006;24510;27589;3079,0;5,9099023014
ED5-8;IT; 2007;25745;28588;2843,0;5,2325474389
ED5-8;IT; 2008;25391;27836;2445,0;4,5935333571
ED5-8;IT; 2009;25450;28757;3307,0;6,100688103
ED5-8;IT; 2010;26028;28893;2865,0;5,2165838204
ED5-8;IT; 2011;25603;28251;2648,0;4,9169978089
ED5-8;IT; 2012;25471;28357;2886,0;5,3615218845
ED5-8;IT; 2013;24692;27297;2605,0;5,0106753352
ED5-8;IT; 2014;23934;26319;2385,0;4,7459853143
ED5-8;IT; 2015;24021;25652;1631,0;3,2834739194
ED5-8;IT; 2016;24645;27154;2509,0;4,8437228518
ED5-8;IT; 2017;25127;27413;2286,0;4,350970689
ED5-8;IT; 2018;26250;28216;1966,0;3,6095913047
ED5-8;IT; 2019;-1;-1;0,0;-0,0
ED5-8;LT; 2005;4053;4475;422,0;4,9484052533
ED5-8;LT; 2006;4787;5097;310,0;3,1363820316
ED5-8;LT; 2007;5790;6692;902,0;7,2264060247
ED5-8;LT; 2008;6832;8326;1494,0;9,8561815543
ED5-8;LT; 2009;8476;10151;1675,0;8,992322972
ED5-8;LT; 2010;7049;7950;901,0;6,0070671378
ED5-8;LT; 2011;6346;6794;448,0;3,4094368341
ED5-8;LT; 2012;7157;7929;772,0;5,1173273233
ED5-8;LT; 2013;7842;8628;786,0;4,7723132969
ED5-8;LT; 2014;8544;9237;693,0;3,8974185929
ED5-8;LT; 2015;9410;10510;1100,0;5,5220883534
ED5-8;LT; 2016;9928;11114;1186,0;5,6363463549
ED5-8;LT; 2017;10560;13109;2549,0;10,7693607672
ED5-8;LT; 2018;11308;13628;2320,0;9,3038177735
ED5-8;LT; 2019;12655;14135;1480,0;5,5244494214
ED5-8;LU; 2005;43661;46190;2529,0;2,8146598257
ED5-8;LU; 2006;47639;47500;-139,0;-0,1461020192
ED5-8;LU; 2007;47464;50497;3033,0;3,0961300926
ED5-8;LU; 2008;48951;53150;4199,0;4,1125943918
ED5-8;LU; 2009;50988;56001;5013,0;4,6855284188
ED5-8;LU; 2010;49905;54132;4227,0;4,0629775945
ED5-8;LU; 2011;49285;52369;3084,0;3,0338206072
ED5-8;LU; 2012;50223;51887;1664,0;1,6296151209
ED5-8;LU; 2013;52145;54196;2051,0;1,9287010654
ED5-8;LU; 2014;52025;52922;897,0;0,8547171429
ED5-8;LU; 2015;51027;54041;3014,0;2,8686184185
ED5-8;LU; 2016;48969;50889;1920,0;1,922730277
ED5-8;LU; 2017;51987;53454;1467,0;1,3912993997
ED5-8;LU; 2018;58875;65280;6405,0;5,1588739882
ED5-8;LU; 2019;-1;-1;0,0;-0,0
ED5-8;LV; 2005;4026;4627;601,0;6,9455680111
ED5-8;LV; 2006;5057;5908;851,0;7,7610579115
ED5-8;LV; 2007;5929;6560;631,0;5,0524461526
ED5-8;LV; 2008;8840;9983;1143,0;6,0723582851
ED5-8;LV; 2009;10013;11298;1285,0;6,0297498944
ED5-8;LV; 2010;8271;9288;1017,0;5,7919015889
ED5-8;LV; 2011;7394;8703;1309,0;8,1319500528
ED5-8;LV; 2012;7942;9367;1425,0;8,2327113063
ED5-8;LV; 2013;8213;9857;1644,0;9,0979524073
ED5-8;LV; 2014;9112;10372;1260,0;6,4668445904
ED5-8;LV; 2015;9993;11374;1381,0;6,463237703
ED5-8;LV; 2016;10698;12036;1338,0;5,8854579045
ED5-8;LV; 2017;10974;12238;1264,0;5,4454592452
ED5-8;LV; 2018;12290;14519;2229,0;8,3143720392
ED5-8;LV; 2019;13535;15656;2121,0;7,2659381316
ED5-8;MT; 2005;15440;15534;94,0;0,3034803383
ED5-8;MT; 2006;16340;16423;83,0;0,2533345542
ED5-8;MT; 2007;15366;15927;561,0;1,7927331991
ED5-8;MT; 2008;17615;16977;-638,0;-1,8443570768
ED5-8;MT; 2009;18168;18229;61,0;0,1675962305
ED5-8;MT; 2010;18653;18421;-232,0;-0,6257754761
ED5-8;MT; 2011;19152;18918;-234,0;-0,6146572104
ED5-8;MT; 2012;19321;20131;810,0;2,0531278516
ED5-8;MT; 2013;20793;22309;1516,0;3,5172381792
ED5-8;MT; 2014;21451;22525;1074,0;2,4422412225
ED5-8;MT; 2015;22501;24042;1541,0;3,3109167866
ED5-8;MT; 2016;23224;24670;1446,0;3,0191673278
ED5-8;MT; 2017;24217;26143;1926,0;3,8244638602
ED5-8;MT; 2018;24697;25841;1144,0;2,2636431992
ED5-8;MT; 2019;25112;26192;1080,0;2,1050990176
ED5-8;NL; 2005;23726;24706;980,0;2,0234555666
ED5-8;NL; 2006;24239;25176;937,0;1,8961853688
ED5-8;NL; 2007;26757;28068;1311,0;2,39124487
ED5-8;NL; 2008;27808;29723;1915,0;3,3286402114
ED5-8;NL; 2009;28428;29613;1185,0;2,0416602057
ED5-8;NL; 2010;27755;29084;1329,0;2,3381832896
ED5-8;NL; 2011;28198;28641;443,0;0,7793944299
ED5-8;NL; 2012;27458;28934;1476,0;2,6173925379
ED5-8;NL; 2013;27436;28790;1354,0;2,4081385836
ED5-8;NL; 2014;28528;28797;269,0;0,4692542521
ED5-8;NL; 2015;29297;29840;543,0;0,9182068756
ED5-8;NL; 2016;31179;32266;1087,0;1,7132949799
ED5-8;NL; 2017;32162;33131;969,0;1,4840794572
ED5-8;NL; 2018;32107;34115;2008,0;3,0322249404
ED5-8;NL; 2019;32638;34631;1993,0;2,9627317189
ED5-8;PL; 2005;5062;5718;656,0;6,0853432282
ED5-8;PL; 2006;6188;6727;539,0;4,1734417344
ED5-8;PL; 2007;6786;7503;717,0;5,0178458954
ED5-8;PL; 2008;7756;8674;918,0;5,5873402313
ED5-8;PL; 2009;9467;10586;1119,0;5,580212437
ED5-8;PL; 2010;7856;8426;570,0;3,5007984277
ED5-8;PL; 2011;8718;9353;635,0;3,5139173261
ED5-8;PL; 2012;8658;9636;978,0;5,3460150869
ED5-8;PL; 2013;8592;9500;908,0;5,0187928366
ED5-8;PL; 2014;8796;9635;839,0;4,5521132874
ED5-8;PL; 2015;8960;10015;1055,0;5,5599472991
ED5-8;PL; 2016;9148;10387;1239,0;6,3424622472
ED5-8;PL; 2017;9326;10423;1097,0;5,554711631
ED5-8;PL; 2018;9836;10776;940,0;4,5604502232
ED5-8;PL; 2019;10816;11881;1065,0;4,6922500771
ED5-8;PT; 2005;19622;22163;2541,0;6,081129592
ED5-8;PT; 2006;19524;22070;2546,0;6,1210751551
ED5-8;PT; 2007;19881;22300;2419,0;5,7348095114
ED5-8;PT; 2008;19256;21565;2309,0;5,6564023419
ED5-8;PT; 2009;19513;21632;2119,0;5,1500789889
ED5-8;PT; 2010;19095;20277;1182,0;3,0021334959
ED5-8;PT; 2011;18738;19973;1235,0;3,1903076645
ED5-8;PT; 2012;16691;19072;2381,0;6,6577188715
ED5-8;PT; 2013;16148;17590;1442,0;4,274112277
ED5-8;PT; 2014;15617;17553;1936,0;5,8365993368
ED5-8;PT; 2015;15469;17298;1829,0;5,5818353832
ED5-8;PT; 2016;15963;17446;1483,0;4,4389236433
ED5-8;PT; 2017;15882;18021;2139,0;6,3091761791
ED5-8;PT; 2018;15770;17411;1641,0;4,9456013984
ED5-8;PT; 2019;16504;17984;1480,0;4,2913477151
ED5-8;RO; 2005;-1;-1;0,0;-0,0
ED5-8;RO; 2006;-1;-1;0,0;-0,0
ED5-8;RO; 2007;4293;4462;169,0;1,9303255283
ED5-8;RO; 2008;5109;5124;15,0;0,1465845793
ED5-8;RO; 2009;5051;5287;236,0;2,2828400077
ED5-8;RO; 2010;4590;4728;138,0;1,4810045074
ED5-8;RO; 2011;4167;4458;291,0;3,3739130435
ED5-8;RO; 2012;4067;4200;133,0;1,6088060965
ED5-8;RO; 2013;4117;4282;165,0;1,9645195857
ED5-8;RO; 2014;4172;4306;134,0;1,5805614532
ED5-8;RO; 2015;4387;4531;144,0;1,6147118188
ED5-8;RO; 2016;4826;4888;62,0;0,6382540663
ED5-8;RO; 2017;5169;5225;56,0;0,5387723687
ED5-8;RO; 2018;7104;7310;206,0;1,4291660885
ED5-8;RO; 2019;7945;8309;364,0;2,2394487511
ED5-8;SE; 2005;22144;23498;1354,0;2,9665658823
ED5-8;SE; 2006;22489;22580;91,0;0,2019126229
ED5-8;SE; 2007;23722;24182;460,0;0,960253841
ED5-8;SE; 2008;26049;26657;608,0;1,1535688536
ED5-8;SE; 2009;26271;26993;722,0;1,3555121658
ED5-8;SE; 2010;23327;24094;767,0;1,6174268784
ED5-8;SE; 2011;27035;27141;106,0;0,1956585942
ED5-8;SE; 2012;29731;29742;11,0;0,018495788
ED5-8;SE; 2013;31835;31990;155,0;0,2428515472
ED5-8;SE; 2014;32973;32896;-77,0;-0,1168986929
ED5-8;SE; 2015;32277;31901;-376,0;-0,5858705475
ED5-8;SE; 2016;31864;31532;-332,0;-0,5236923465
ED5-8;SE; 2017;32004;32270;266,0;0,413853191
ED5-8;SE; 2018;33032;32859;-173,0;-0,2625548254
ED5-8;SE; 2019;31475;34578;3103,0;4,6977427218
ED5-8;SI; 2005;14482;15675;1193,0;3,9559637895
ED5-8;SI; 2006;14984;15842;858,0;2,7833646921
ED5-8;SI; 2007;15049;15891;842,0;2,7213962508
ED5-8;SI; 2008;16314;17161;847,0;2,5302464526
ED5-8;SI; 2009;17331;18106;775,0;2,1869797105
ED5-8;SI; 2010;17274;18141;867,0;2,4481152054
ED5-8;SI; 2011;17447;18411;964,0;2,688381951
ED5-8;SI; 2012;17252;18210;958,0;2,7014832779
ED5-8;SI; 2013;16649;18137;1488,0;4,2775829357
ED5-8;SI; 2014;16448;17908;1460,0;4,249621609
ED5-8;SI; 2015;16438;17963;1525,0;4,4330106683
ED5-8;SI; 2016;16231;18032;1801,0;5,256399031
ED5-8;SI; 2017;16587;18092;1505,0;4,3398021858
ED5-8;SI; 2018;17329;18766;1437,0;3,9811608256
ED5-8;SI; 2019;18792;19874;1082,0;2,798324109
ED5-8;SK; 2005;4075;4295;220,0;2,6284348865
ED5-8;SK; 2006;5117;5123;6,0;0,05859375
ED5-8;SK; 2007;5653;6052;399,0;3,4087996583
ED5-8;SK; 2008;6757;7279;522,0;3,7190082645
ED5-8;SK; 2009;8191;8874;683,0;4,0023439789
ED5-8;SK; 2010;8572;9580;1008,0;5,5531070956
ED5-8;SK; 2011;8807;9326;519,0;2,8621849666
ED5-8;SK; 2012;9619;10228;609,0;3,0684738248
ED5-8;SK; 2013;9024;9381;357,0;1,9396903015
ED5-8;SK; 2014;9318;10080;762,0;3,9282400247
ED5-8;SK; 2015;8735;9443;708,0;3,8948179118
ED5-8;SK; 2016;8847;9835;988,0;5,2885130072
ED5-8;SK; 2017;8931;9680;749,0;4,0245016388
ED5-8;SK; 2018;9183;9724;541,0;2,8613740943
ED5-8;SK; 2019;-1;-1;0,0;-0,0
